内置番号,卡号,姓名,姓氏提取,匹配类型,骑砍ID,罗马音名,家族,文化,类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派,事件获取
906,361,武将,河野通直,河野通直,精确匹配,河野通直,100,lord_1_kawano_2,clan_kawano_1,sanyo,Kawano Michinao,Kawano Michinao,1500,1549,1572,刀剑,32,26,77,63,42,0,1,0,0,0,0,1,0,0,0,0,1,2,2,0,0,无,拔突,无,,,,,,全职种,40,40,普通,普通,现实,轻率,普通,50,艺术品,普通,普通,其他,已登场,河野通直,家老,直臣,河野家,汤筑城,无,已登场,河野通直,家老,直臣,河野家,汤筑城,无,已登场,河野通直,家老,直臣,河野家,汤筑城,无,已登场,河野通直,家老,直臣,河野家,汤筑城,无,已死亡,河野通直,无效,无效,无,无效,无,已死亡,河野通直,无效,无效,无,无效,无,已死亡,河野通直,无效,无效,无,无效,无,已死亡,河野通直,无效,无效,无,无效,无,已登场,河野通直,部将,直臣,河尻家,水户城,无,无要求,,
907,49,武将,姊小路良赖,姉小路良頼,精确匹配,姊小路良赖,100,lord_1_anekouji,clan_anekouji_1,tosan,Anekouji Yoshiyori,Anekouji Yoshiyori,1516,1549,1572,刀剑,55,50,43,61,54,1,1,0,1,1,0,1,0,1,1,1,0,2,2,1,0,无,强袭,无,三木直赖,899,,,姊小路赖纲 三木直赖,只限武将,20,20,普通,勇敢,现实,普通,不重情义,75,艺术品,贪心,普通,藤原氏,已登场,三木良纲,家老,直臣,三木家,松仓城,无,已登场,三木良纲,大名,首领,三木家,松仓城,无,已登场,三木良纲,大名,首领,三木家,松仓城,无,已登场,姊小路良赖,大名,首领,姊小路家,松仓城,无,已死亡,姊小路良赖,无效,无效,无,无效,无,已死亡,姊小路良赖,无效,无效,无,无效,无,已死亡,姊小路良赖,无效,无效,无,无效,无,已死亡,姊小路良赖,无效,无效,无,无效,无,已登场,姊小路良赖,部将,直臣,小笠原家,小仓城,无,无要求,,
476,575,千坂景亲,千坂,需新建,lord_1_chisakakei,Chisaka Kagechika,,,,,1536,1554,1606,病死,,,,,,全职种,15,15,温和,普通,现实,慎重,重视情义,55,书籍,普通,滴酒不沾,藤原氏,刀剑,27,36,61,82,77,0,1,0,0,0,0,1,0,0,0,0,1,2,3,1,2,无,强袭,无,无要求,,,已登场,千坂景亲,足轻大将,直臣,长尾家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,长尾家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,长尾家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,上杉家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,上杉家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,上杉家,春日山城,无,已登场,千坂景亲,足轻大将,直臣,上杉家,春日山城,无,已登场,千坂景亲,部将,直臣,上杉家,会津若松城,无,已登场,千坂景亲,家老,直臣,千家,海津城,无,
477,577,千叶邦胤,千叶,精确匹配,lord_1_chiba_5,Chiba Kunitane,clan_chiba_1,kanto,精确匹配织丰,,1557,1571,1585,病死,千叶胤富,478,,,千叶胤富,全职种,80,80,普通,普通,普通,轻率,普通,51,书籍,贪心,普通,平氏,刀剑,34,36,39,51,34,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,无,强袭,无,无要求,,,未登场,千叶邦胤,足轻组头,陪臣（千叶胤富）,北条家,佐仓城,无,未登场,千叶邦胤,足轻组头,陪臣（千叶胤富）,北条家,佐仓城,无,未登场,千叶邦胤,足轻组头,陪臣（千叶胤富）,北条家,佐仓城,无,未登场,千叶邦胤,足轻组头,陪臣（千叶胤富）,北条家,佐仓城,无,已登场,千叶邦胤,足轻组头,陪臣（千叶胤富）,北条家,佐仓城,无,已登场,千叶邦胤,城主,直臣,北条家,佐仓城,无,已登场,千叶邦胤,城主,直臣,北条家,佐仓城,无,已死亡,千叶邦胤,无效,无效,无,无效,无,已登场,千叶邦胤,部将,直臣,千家,海津城,无,
478,578,千叶胤富,千叶,精确匹配,lord_1_chiba,Chiba Tanetomi,clan_chiba_1,kanto,精确匹配织丰,,1525,1554,1579,病死,,,,,千叶邦胤,只限武将,80,80,普通,勇敢,普通,轻率,普通,53,书籍,普通,普通,平氏,刀剑,59,44,56,57,55,2,2,1,0,0,0,2,1,0,0,1,0,1,0,1,1,无,强袭,无,无要求,,,已登场,千叶胤富,城主,直臣,北条家,佐仓城,无,已登场,千叶胤富,城主,直臣,北条家,佐仓城,无,已登场,千叶胤富,城主,直臣,北条家,佐仓城,无,已登场,千叶胤富,城主,直臣,北条家,佐仓城,无,已登场,千叶胤富,城主,直臣,北条家,佐仓城,无,已死亡,千叶胤富,无效,无效,无,无效,无,已死亡,千叶胤富,无效,无效,无,无效,无,已死亡,千叶胤富,无效,无效,无,无效,无,已登场,千叶胤富,部将,直臣,千家,海津城,无,
479,580,茶屋又四郎,茶屋,需新建,lord_1_chayamatashirou,Chaya Matashiro,,,,,1584,1598,1622,病死,茶屋四郎次郎,480,,,茶屋四郎次郎,武将以外优先,90,90,普通,勇敢,理想,普通,普通,57,南蛮物,贪心,嗜酒如命,源氏,枪,31,41,57,62,51,0,0,0,0,0,1,0,1,1,1,1,3,3,3,3,2,无,拔突，丢钱,风雅之士,无要求,,,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,未登场,茶屋又四郎,掌柜,直臣,茶屋,京之町,无,已登场,茶屋又四郎,当家,首领,茶屋,京之町,无,已登场,茶屋又四郎,家老,直臣,茶屋家,岐阜城,无,
912,18,武将,明智光安,明智光安,姓氏推断,,75,akechi_mitsuyasu,clan_akechi_1,tosan,Akechi Mitsuyasu,,1500,1549,1556,刀剑,69,42,61,51,77,3,2,0,1,2,1,1,0,0,1,0,0,3,2,0,1,齐攻,拔突，刚弓,无,(明智光继),1354,,,明智光秀,只限武将,0,60,温和,胆小,现实,慎重,重视情义,45,书籍,普通,普通,源氏,已登场,明智光安,部将,直臣,斋藤家,稻叶山城,无,已登场,明智光安,部将,直臣,斋藤家,稻叶山城,无,已死亡,明智光安,无效,无效,无,无效,无,已死亡,明智光安,无效,无效,无,无效,无,已死亡,明智光安,无效,无效,无,无效,无,已死亡,明智光安,无效,无效,无,无效,无,已死亡,明智光安,无效,无效,无,无效,无,已死亡,明智光安,无效,无效,无,无效,无,已登场,明智光安,浪人,其他,无,奈良之町,无,无要求,,
913,749,武将,别所重栋,別所重棟,姓氏推断,,75,bessho_juu,clan_bessho_1,kinai,Bessho Shigetake,,1529,1549,1591,刀剑,49,45,45,54,32,1,0,0,1,1,1,0,0,0,1,2,0,2,1,0,0,齐攻,强袭,无,别所就治,842,,,别所长治 别所就治,全职种,0,30,普通,胆小,普通,慎重,普通,56,艺术品,普通,普通,源氏,已登场,别所重栋,部将,陪臣（别所就治）,赤松家,三木城,无,已登场,别所重栋,部将,陪臣（别所就治）,赤松家,三木城,无,已登场,别所重栋,部将,陪臣（别所就治）,赤松家,三木城,无,已登场,别所重栋,部将,陪臣（别所长治）,赤松家,三木城,无,已登场,别所重栋,部将,陪臣（别所长治）,赤松家,三木城,无,已登场,别所重栋,部将,直臣,织田家,安土城,无,已登场,别所重栋,部将,直臣,羽柴家,石山本愿寺,无,已死亡,别所重栋,无效,无效,无,无效,无,已登场,别所重栋,浪人,其他,无,安土之町,无,无要求,,
480,579,茶屋四郎次郎,茶屋,需新建,lord_1_chayashiroujirou,Chaya Shiroujiro,,,,,1545,1559,1596,病死,,,,,茶屋又四郎,武将以外优先,90,90,温和,胆小,现实,慎重,重视情义,49,南蛮物,贪心,普通,源氏,枪,10,3,68,79,67,0,0,0,0,0,0,0,0,0,2,2,4,3,4,2,3,无,拔突，伤药，丢钱，贿赂，大宴宾客,风雅之士,一般条件,,,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已登场,茶屋四郎次郎,当家,首领,茶屋,京之町,无,已死亡,茶屋四郎次郎,无效,无效,无,无效,无,已登场,茶屋四郎次郎,大名,首领,茶屋家,岐阜城,无,
915,936,武将,吉弘镇信,吉弘鎮信,精确匹配,吉弘镇信,100,lord_1_yoshihiro_2,clan_yoshihiro_1,saikai,Yoshihiro Shigenobu,Yoshihiro Shigenobu,1540,1554,1578,刀剑,56,55,51,48,49,2,2,0,0,1,0,0,0,0,0,1,0,2,1,0,0,齐攻,强袭，连续斩,无,吉弘鉴理,778,,,高桥绍运 立花直次 立花宗茂 吉弘鉴理,只限武将,80,80,普通,普通,普通,普通,重视情义,70,南蛮物,贪心,普通,藤原氏,未登场,吉弘镇信,足轻组头,直臣,大友家,府内城,无,已登场,吉弘镇信,足轻组头,直臣,大友家,府内城,无,已登场,吉弘镇信,足轻组头,直臣,大友家,府内城,无,已登场,吉弘镇信,足轻组头,直臣,大友家,府内城,无,已登场,吉弘镇信,足轻组头,直臣,大友家,府内城,无,已死亡,吉弘镇信,无效,无效,无,无效,无,已死亡,吉弘镇信,无效,无效,无,无效,无,已死亡,吉弘镇信,无效,无效,无,无效,无,已登场,吉弘镇信,浪人,其他,无,松仓之町,无,无要求,,
481,581,长宗我部国亲,长宗我部,模糊匹配,lord_1_chosokabe,Chosokabe Kunichika,clan_chosokabe_1,nankai,家族和文化自动推断,,1504,1554,1560,病死,,,,,香川亲和 吉良亲贞 吉良亲实 香宗我部亲泰 长宗我部信亲 长宗我部元亲 长宗我部盛亲 津野亲忠,只限武将,80,80,性急,勇敢,普通,轻率,重视情义,79,武具,贪心,嗜酒如命,其他,刀剑,84,73,69,66,71,3,2,1,2,1,1,2,1,2,1,1,0,0,1,0,0,无,强袭,无,一般条件,,,已登场,长宗我部国亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部国亲,大名,首领,长宗我部家,冈丰城,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已死亡,长宗我部国亲,无效,无效,无,无效,无,已登场,长宗我部国亲,浪人,其他,无,长船之町,无,
482,582,长宗我部信亲,长宗我部,精确匹配,lord_1_chosokabe_2,Chosokabe Nobuchika,clan_chosokabe_1,nankai,精确匹配织丰,,1565,1579,1586,战死,长宗我部元亲,483,长宗我部国亲,481,香川亲和 吉良亲贞 吉良亲实 香宗我部亲泰 长宗我部国亲 长宗我部元亲 长宗我部盛亲 津野亲忠,只限武将,89,89,温和,普通,普通,轻率,重视情义,43,书籍,普通,普通,其他,刀剑,75,69,67,60,82,2,2,0,0,1,2,2,0,2,1,1,1,1,1,1,1,无,强袭，拔突，铁壁,无,无要求,,,未登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,未登场,长宗我部信亲,部将,陪臣（长宗我部元亲）,长宗我部家,冈丰城,无,未登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,未登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,未登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,已登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,已登场,长宗我部信亲,家老,直臣,长宗我部家,冈丰城,无,已死亡,长宗我部信亲,无效,无效,无,无效,无,已登场,长宗我部信亲,浪人,其他,无,长船之町,无,
918,66,武将,有马丰氏,有馬豐氏,姓氏推断,,50,arima,clan_arima_1,saikai,Arima Tomofusa,,1569,1583,1642,刀剑,61,45,65,54,42,2,1,1,2,0,1,2,0,3,0,0,0,1,0,3,1,土龙攻,拔突,风雅之士,,,,,,只限武将,0,0,普通,胆小,普通,慎重,不重情义,64,艺术品,贪心,普通,源氏,未登场,有马丰氏,浪人,其他,无,姬路之町,无,未登场,有马丰氏,浪人,其他,无,姬路之町,无,未登场,有马丰氏,浪人,其他,无,姬路之町,无,未登场,有马丰氏,浪人,其他,无,姬路之町,无,未登场,有马丰氏,浪人,其他,无,姬路之町,无,未登场,有马丰氏,浪人,其他,无,姬路之町,无,已登场,有马丰氏,足轻组头,直臣,羽柴家,石山本愿寺,无,已登场,有马丰氏,浪人,其他,无,姬路之町,无,已登场,有马丰氏,中忍,直臣,风魔众,风魔之里,无,无要求,,
483,583,长宗我部元亲,长宗我部,精确匹配,lord_1_chosokabe,Chosokabe Motochika,clan_chosokabe_1,nankai,精确匹配织丰,,1539,1560,1599,病死,长宗我部国亲,481,,,香川亲和 吉良亲贞 吉良亲实 香宗我部亲泰 长宗我部国亲 长宗我部信亲 长宗我部盛亲 津野亲忠,只限武将,80,80,普通,普通,理想,轻率,普通,94,南蛮物,贪心,嗜酒如命,其他,刀剑,92,68,89,85,84,3,2,2,3,2,2,3,1,3,3,1,3,2,3,2,2,无,强袭，拔突，刚弓，铁壁，丢钱,无,一般条件,,,已登场,长宗我部元亲,家老,直臣,长宗我部家,冈丰城,无,已登场,长宗我部元亲,部将,直臣,长宗我部家,冈丰城,无,已登场,长宗我部元亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部元亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部元亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部元亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部元亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部元亲,家老,直臣,长宗我部家,冈丰城,无,已登场,长宗我部元亲,浪人,其他,无,长船之町,无,
484,584,长宗我部盛亲,长宗我部,模糊匹配,lord_1_chosokabe,Chosokabe Morichika,clan_chosokabe_1,nankai,家族和文化自动推断,,1575,1589,1615,战死,长宗我部元亲,483,长宗我部国亲,481,香川亲和 吉良亲贞 吉良亲实 香宗我部亲泰 长宗我部国亲 长宗我部信亲 长宗我部元亲 津野亲忠,全职种,99,99,性急,勇敢,理想,轻率,重视情义,78,武具,普通,嗜酒如命,其他,枪,62,72,31,27,64,1,2,1,0,1,2,2,0,0,0,0,0,2,2,1,0,无,强袭，拔突，铁壁,无,一般条件,,,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,陪臣（长宗我部元亲）,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,未登场,长宗我部盛亲,足轻组头,直臣,长宗我部家,冈丰城,无,已登场,长宗我部盛亲,大名,首领,长宗我部家,冈丰城,无,已登场,长宗我部盛亲,浪人,其他,无,长船之町,无,
921,99,武将,伊集院忠朗,伊集院忠朗,精确匹配,伊集院忠朗,100,lord_1_ijuin_10,clan_ijuin_1,saikai,Ijuin Tadaaki,Ijuin Tadaaki,1502,1549,1566,火绳枪,54,52,42,57,70,1,1,2,2,0,2,3,0,2,0,1,1,0,0,0,2,齐攻,强袭，拔突，急所击，刚力，铁壁,无,,,,,,只限武将,30,30,普通,普通,现实,慎重,重视情义,63,南蛮物,普通,嗜酒如命,源氏,已登场,伊集院忠朗,家老,直臣,岛津家,内城,无,已登场,伊集院忠朗,家老,直臣,岛津家,内城,无,已登场,伊集院忠朗,家老,直臣,岛津家,内城,无,已死亡,伊集院忠朗,无效,无效,无,无效,无,已死亡,伊集院忠朗,无效,无效,无,无效,无,已死亡,伊集院忠朗,无效,无效,无,无效,无,已死亡,伊集院忠朗,无效,无效,无,无效,无,已死亡,伊集院忠朗,无效,无效,无,无效,无,已登场,伊集院忠朗,浪人,其他,无,温泉津之町,无,一般条件,,
485,585,长续连,长,精确匹配,lord_1_cho,Cho Tsugutsura,clan_cho_1,hokuriku,精确匹配织丰,,1515,1560,1577,战死,,,,,长连龙,只限武将,90,90,普通,胆小,普通,轻率,不重情义,76,书籍,贪心,普通,源氏,刀剑,34,28,45,67,21,0,0,0,0,1,0,0,1,0,0,1,2,0,2,0,0,无,强袭,无,无要求,,,已登场,长续连,家老,直臣,畠山家,七尾城,无,已登场,长续连,家老,直臣,畠山家,七尾城,无,已登场,长续连,家老,直臣,畠山家,七尾城,无,已登场,长续连,大名,首领,长家,七尾城,无,已登场,长续连,大名,首领,长家,七尾城,无,已死亡,长续连,无效,无效,无,无效,无,已死亡,长续连,无效,无效,无,无效,无,已死亡,长续连,无效,无效,无,无效,无,已登场,长续连,浪人,其他,无,长船之町,无,
486,586,长连龙,长,精确匹配,lord_1_cho_4,Cho Turatatsu,clan_cho_1,hokuriku,精确匹配织丰,,1546,1560,1619,病死,长续连,485,,,长续连,全职种,90,90,温和,胆小,普通,轻率,普通,68,书籍,普通,普通,源氏,刀剑,39,33,54,51,42,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,1,无,强袭,无,无要求,,,未登场,长连龙,侍大将,陪臣（长续连）,畠山家,七尾城,无,未登场,长连龙,侍大将,陪臣（长续连）,畠山家,七尾城,无,已登场,长连龙,侍大将,直臣,畠山家,七尾城,无,已登场,长连龙,侍大将,直臣,长家,七尾城,无,已登场,长连龙,侍大将,直臣,长家,七尾城,无,已登场,长连龙,侍大将,陪臣（前田利家）,织田家,七尾城,无,已登场,长连龙,侍大将,直臣,前田家,尾山城,无,已登场,长连龙,侍大将,直臣,前田家,金泽城,无,已登场,长连龙,浪人,其他,无,长船之町,无,
487,587,塚原卜传,塚原,需新建,lord_1_tsukaharaboku,Tsukahara Bokuden,,,,,1490,1560,1572,病死,,,,,,没那个意思,0,0,普通,普通,普通,普通,普通,42,武具,无欲,滴酒不沾,其他,刀剑,47,99,45,41,77,0,0,0,0,2,4,3,2,0,0,0,0,0,0,0,2,无,强袭，连续斩，八神太刀，一之太刀，拔突，二连苦无，刚弓，神妙剑，当身，刚力，金刚力，铁壁，气声，辱骂，大喝，炯眼，罗刹,剑圣,一般条件,,,已登场,塚原卜传,师范,其他,无,鹿岛之町,新当流,已登场,塚原卜传,师范,其他,无,鹿岛之町,新当流,已登场,塚原卜传,师范,其他,无,鹿岛之町,新当流,已登场,塚原卜传,师范,其他,无,鹿岛之町,新当流,已死亡,塚原卜传,无效,无效,无,无效,无,已死亡,塚原卜传,无效,无效,无,无效,无,已死亡,塚原卜传,无效,无效,无,无效,无,已死亡,塚原卜传,无效,无效,无,无效,无,已登场,塚原卜传,师范,其他,无,鹿岛之町,新当流,
488,588,津轻为信,津轻,需新建,lord_1_tsushin,Tsugaru Tamenobu,,,,,1550,1564,1607,病死,,,,,津轻信枚,只限武将,16,16,普通,勇敢,现实,轻率,不重情义,94,艺术品,贪心,普通,藤原氏,刀剑,85,65,84,89,84,3,2,2,2,1,2,3,2,3,0,2,2,2,3,1,1,无,强袭，拔突，二连苦无，铁壁,策士,一般条件,,,未登场,大浦为信,城主,直臣,南部家,大浦城,无,未登场,大浦为信,部将,直臣,南部家,三户城,无,已登场,大浦为信,城主,直臣,南部家,大浦城,无,已登场,大浦为信,城主,直臣,南部家,大浦城,无,已登场,津轻为信,城主,直臣,南部家,大浦城,无,已登场,津轻为信,城主,直臣,南部家,大浦城,无,已登场,津轻为信,大名,首领,津轻家,大浦城,无,已登场,津轻为信,大名,首领,津轻家,大浦城,无,已登场,津轻为信,船头,直臣,盐饱水军,盐饱之砦,无,
489,592,柘植三之丞,柘植,需新建,lord_1_tsugesannojou,Tsuge Sannojou,,,,,1542,1555,1631,病死,,,,,,全职种,90,90,普通,勇敢,现实,普通,重视情义,55,武具,无欲,普通,平氏,苦无,24,83,23,57,49,2,0,4,0,1,2,1,4,0,0,2,2,0,1,1,2,城门爆破，鬼脚之术，雾隐之术，雷爆之术,强袭，拔突，二连苦无，半月，急所击，猛毒苦无，十字投，乱苦无，叠返之术，铁壁，分身之术,苦无名人,无要求,,,未登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,未登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,中忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,上忍,直臣,伊贺众,伊贺之里,无,已登场,柘植三之丞,侍大将,直臣,三刀屋家,骏府城,无,
927,54,武将,天草四郎,天草四郎,姓氏推断,,50,amakusa_shirou,clan_amakusa_1,saikai,Amakusa Shirou,,1546,1560,1638,刀剑,67,32,57,77,89,1,1,3,0,0,2,1,1,0,0,0,2,0,3,0,0,加护,强袭，拔突，急所击，铁壁，伤药,无,,,,,,全职种,50,50,性急,勇敢,理想,轻率,普通,78,南蛮物,贪心,普通,其他,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已死亡,天草四郎,无效,无效,无,无效,无,已登场,天草四郎,家老,直臣,茶屋家,岐阜城,无,不可,天主教大名 大友宗麟/有马晴信/黑田如水/小西行长,
490,597,津田信澄,津田,需新建,lord_1_tsudanobusumi,Tsuda Nobuzumi,,,,,1555,1569,1582,战死,织田信胜,190,织田信秀,803,织田有乐 织田信胜 织田信雄 织田信包 织田信孝 织田信忠 织田信长 织田信秀,全职种,30,30,普通,胆小,普通,轻率,普通,25,书籍,普通,普通,平氏,刀剑,43,44,39,41,78,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,无,强袭,无,无要求,,,未登场,津田信澄,足轻大将,陪臣（织田信胜）,织田家,那古野城,无,未登场,津田信澄,足轻大将,陪臣（织田信胜）,织田家,那古野城,无,未登场,津田信澄,足轻大将,直臣,织田家,清洲城,无,未登场,津田信澄,足轻大将,直臣,织田家,岐阜城,无,已登场,津田信澄,足轻大将,直臣,织田家,岐阜城,无,已登场,津田信澄,侍大将,直臣,织田家,安土城,无,已死亡,津田信澄,无效,无效,无,无效,无,已死亡,津田信澄,无效,无效,无,无效,无,已登场,津田信澄,头领,首领,盐饱水军,盐饱之砦,无,
929,558,武将,伊达小次郎,伊達小次郎,姓氏推断,,44,date_kojirou,clan_date_1,ou,Date Kojirou,,1568,1578,1590,刀剑,26,58,31,59,52,2,1,0,0,1,2,2,0,2,1,0,1,2,1,0,0,骑射突击,强袭，连续斩，毒斩，拔突，急所击，铁壁,无,伊达辉宗,464,伊达晴宗,465,石川昭光 伊达辉宗 伊达晴宗 伊达政宗 留守政景,只限武将,62,62,性急,勇敢,理想,轻率,不重情义,67,武具,普通,普通,藤原氏,未登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,未登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,未登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,未登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,未登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,已登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,已登场,伊达小次郎,足轻组头,直臣,伊达家,米泽城,无,已死亡,伊达小次郎,无效,无效,无,无效,无,已登场,伊达小次郎,足轻组头,直臣,小笠原家,小仓城,无,不可,,主角伊达政宗，兄弟之情剧情
491,598,土屋昌恒,土屋,需新建,lord_1_tsuchiyamasatsune,Tsuchiya Masatsune,,,,,1556,1570,1582,战死,,,,,,只限武将,90,90,普通,普通,普通,轻率,重视情义,19,武具,普通,普通,源氏,刀剑,52,71,21,30,58,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,无,强袭，连续斩，拔突，刚力，铁壁,无,无要求,,,未登场,土屋昌恒,足轻大将,直臣,武田家,踯躅崎馆,无,未登场,土屋昌恒,足轻大将,直臣,武田家,踯躅崎馆,无,未登场,土屋昌恒,足轻大将,直臣,武田家,踯躅崎馆,无,未登场,土屋昌恒,足轻大将,直臣,武田家,踯躅崎馆,无,已登场,土屋昌恒,足轻大将,直臣,武田家,踯躅崎馆,无,已登场,土屋昌恒,足轻大将,直臣,武田家,甲府城,无,已死亡,土屋昌恒,无效,无效,无,无效,无,已死亡,土屋昌恒,无效,无效,无,无效,无,已登场,土屋昌恒,浪人,其他,无,土崎凑之町,无,
492,599,筒井定次,筒井,精确匹配,lord_1_tsutsui_8,Tsutsui Sadatsugu,clan_tsutsui_1,kinai,精确匹配织丰,,1562,1576,1615,战死,,,筒井顺昭,819,筒井顺庆 筒井顺昭,全职种,3,3,普通,胆小,普通,慎重,普通,46,南蛮物,普通,普通,藤原氏,刀剑,24,22,34,17,49,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,无,强袭,无,无要求,,,未登场,筒井定次,足轻组头,陪臣（筒井顺庆）,筒井家,大和郡山城,无,未登场,筒井定次,足轻组头,陪臣（筒井顺庆）,筒井家,大和郡山城,无,未登场,筒井定次,足轻组头,直臣,筒井家,大和郡山城,无,未登场,筒井定次,足轻组头,直臣,筒井家,大和郡山城,无,未登场,筒井定次,足轻组头,陪臣（筒井顺庆）,筒井家,大和郡山城,无,已登场,筒井定次,足轻大将,陪臣（筒井顺庆）,织田家,大和郡山城,无,已登场,筒井定次,部将,直臣,筒井家,大和郡山城,无,已登场,筒井定次,大名,首领,筒井家,伊贺上野城,无,已登场,筒井定次,浪人,其他,无,小仓之町,无,
