类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,档,载体,存档键,实现锚点,频率
域值,流派,流派Ａ,代入流派Ａ:(流派::主人公流派),Ctx::school_a,对象:流派,流派Ａ,—,T3,数据包,无,school_N,4
域值,流派,流派Ｂ,"容器選擇:(流派Ｂ,先頭)",Ctx::school_b,对象:流派,流派Ｂ,—,T3,数据包,无,school_N,3
域值,流派,無效,調查:(人物::主人公.劍術流派)!=(流派::無效),null,空,無效,—,T3,数据包,无,school_N,7
域值,海賊衆,海賊衆Ａ,調查:(海賊衆::海賊衆Ａ)==(海賊衆::熊野水軍),Ctx::pirate_a,对象:组织,海賊衆Ａ,—,T3-预留,数据包,无,org_pirate_N,208
域值,海賊衆,海賊衆Ｂ,調查:(人物::安宅信康.所屬海賊衆)==(海賊衆::海賊衆Ｂ),Ctx::pirate_b,对象:组织,海賊衆Ｂ,—,T3-预留,数据包,无,org_pirate_N,71
域值,海賊衆,海賊衆Ｃ,調查:(人物::主人公.所屬海賊衆)!=(海賊衆::海賊衆Ｃ),Ctx::pirate_c,对象:组织,海賊衆Ｃ,—,T3-预留,数据包,无,org_pirate_N,40
域值,海賊衆,海賊衆Ｄ,"容器選擇:(海賊衆Ｄ,先頭)",Ctx::pirate_d,对象:组织,海賊衆Ｄ,—,T3-预留,数据包,无,org_pirate_N,5
域值,海賊衆,無效,更新:(人物::人物Ｂ.所屬海賊衆)(海賊衆::無效),null,空,無效,—,T3-预留,数据包,无,org_pirate_N,3
域值,物品,無效,調查:(人物::主人公.装備武器)!=(物品::無效),null,空,無效,—,T1,引擎,无,直接写 StringId,2
域值,物品,物品Ａ,調查:(人物::主人公.装備武器)==(物品::物品Ａ),Ctx::item_a,对象:物品,物品Ａ,—,T1,引擎,无,直接写 StringId,74
域值,物品,物品Ｂ,調查:(物品::物品Ｂ)==(物品::松風),Ctx::item_b,对象:物品,物品Ｂ,—,T1,引擎,无,直接写 StringId,18
域值,物品類型,武器,調查:(物品::物品Ａ.物品類型)==(物品類型::武器),weapon,枚举:物品類型,武器,—,T1,无,无,字面量,8
域值,物品類型,茶器,調查:(物品::物品Ａ.物品類型)==(物品類型::茶器),tea_ware,枚举:物品類型,茶器,—,T1,无,无,字面量,7
域值,狀況,24,調查:(狀況::24)==(戰鬥結束種類::終結),Variable::last_battle_result,数字,24,—,T2,引擎,无,字面量,7
域值,狀況,36,調查:(狀況::36)!=(真偽::真),Variable::tk5_u19ca14,布尔,36,—,T2,引擎,无,字面量,2
域值,狀況,8,調查:(狀況::8)==(事件主命::半兵衛勧誘),Variable::tk5_uc9f0f8,枚举:事件主命,8,—,T2,引擎,无,字面量,12
域值,狀況,劇本,調查:(狀況::劇本)==(2),Variable::scenario,数字,劇本,—,T2,引擎,无,字面量,553
域值,狀況,場面,調查:(狀況::場面)==(場面::自宅),Variable::scene,对象:设施,場面,—,T2,引擎,无,字面量,11
域值,狀況,天氣,更新:(狀況::天氣)(天氣::雲),Variable::weather,枚举:天氣,天氣,—,T2,引擎,无,字面量,47
域值,狀況,年,調查:(狀況::年)>=(1598),Time::year,数字,年,—,T2,引擎,无,字面量,603
域值,狀況,戰爭禁止日數,更新:(狀況::戰爭禁止日數)(90),Variable::war_ban_days,数字,戰爭禁止日數,—,T2,引擎,无,字面量,211
域值,狀況,日,調查:(狀況::日)>(20),Time::day,数字,日,—,T2,引擎,无,字面量,65
域值,狀況,月,調查:(狀況::月)>=(10),Time::month,数字,月,—,T2,引擎,无,字面量,287
域值,狀況,空閒大名家數,調查:(狀況::空閒大名家數)>=(1),Variable::idle_clans,数字,空閒大名家數,—,T2,引擎,无,字面量,40
域值,狀況,評定期間標誌,調查:(狀況::評定期間標誌)==(真偽::偽),Time::assessment_flag,布尔,評定期間標誌,—,T2,引擎,无,字面量,43
域值,狀況,評定期限結束標誌,調查:(狀況::評定期限結束標誌)==(真偽::偽),Variable::assessment_deadline_flag,布尔,評定期限結束標誌,—,T2,引擎,无,字面量,9
域值,狀況,遊戲經過日數,調查:(狀況::遊戲經過日數)>=(360),Variable::days_elapsed,数字,遊戲經過日數,—,T2,引擎,无,字面量,42
域值,町,町Ａ,調查:(町::町Ａ)==(町::京),Ctx::district_a,对象:据点,町Ａ,—,T1,引擎,无,直接写 StringId,19
域值,真偽,偽,更新:(人物::柳生石舟齋.卡持有(卡::無刀取))(真偽::偽),false,布尔,偽,—,T1,无,无,字面量,1182
域值,真偽,真,更新:(人物::豐臣秀吉.卡持有(卡::千成瓢箪))(真偽::真),true,布尔,真,—,T1,无,无,字面量,1122
域值,砦,砦Ａ,調查:(砦::砦Ａ)==(砦::三島),Ctx::castle_a,对象:据点,砦Ａ,—,T1,引擎,无,直接写 StringId,93
域值,砦,砦Ｂ,調查:(據點::發生據點)==(砦::砦Ｂ),Ctx::castle_b,对象:据点,砦Ｂ,—,T1,引擎,无,直接写 StringId,23
域值,砦,砦Ｃ,代入砦Ｃ:(海賊衆::海賊衆Ｃ.本據),Ctx::castle_c,对象:据点,砦Ｃ,—,T1,引擎,无,直接写 StringId,60
域值,砦,砦Ｅ,調查:(人物::人物Ｅ.所屬據點)==(砦::砦Ｅ),Ctx::castle_e,对象:据点,砦Ｅ,—,T1,引擎,无,直接写 StringId,3
域值,變量,參考值,調查:(變量::參考值)>=(80),Variable::ref_value,数字,參考值,—,T1,Variable,lwn_scn_state,var_N,45
域值,變量,容器記錄數,調查:(變量::容器記錄數)>(0),Variable::container_count,数字,容器記錄數,—,T1,Variable,lwn_scn_state,var_N,465
域值,變量,Ｒｎｄ,代入ｒ:(變量::Ｒｎｄ)%(11),Variable::Rnd,数字/字符串/对象,Ｒｎｄ,—,T1,Variable,lwn_scn_state,var_N,11
域值,變量,Ｒｎｄ１００,調查:(變量::Ｒｎｄ１００)<=(40),Variable::Rnd100,数字,Ｒｎｄ１００,—,T1,Variable,lwn_scn_state,var_N,63
域值,變量,ａ,調查:(變量::ａ)==(0),Ctx::var_a,数字,ａ,—,T1,Variable,lwn_scn_state,var_N,424
域值,變量,ｂ,調查:(變量::ｂ)>(0),Ctx::var_b,数字/字符串/对象,ｂ,—,T1,Variable,lwn_scn_state,var_N,215
域值,變量,ｃ,代入ｃ:(變量::ｃ)*(10),Ctx::var_c,数字,ｃ,—,T1,Variable,lwn_scn_state,var_N,153
域值,變量,ｄ,代入ｄ:(變量::ｄ)-(1496),Ctx::var_d,数字,ｄ,—,T1,Variable,lwn_scn_state,var_N,153
域值,變量,ｅ,調查:(變量::ｅ)==(0),Ctx::var_e,数字,ｅ,—,T1,Variable,lwn_scn_state,var_N,54
域值,變量,ｆ,調查:(變量::ｆ)==(1),Ctx::var_f,数字,ｆ,—,T1,Variable,lwn_scn_state,var_N,25
域值,變量,ｇ,代入ａ:(變量::ａ)+(變量::ｇ),Ctx::var_g,数字,ｇ,—,T1,Variable,lwn_scn_state,var_N,37
域值,變量,ｈ,代入ａ:(變量::ａ)+(變量::ｈ),Ctx::var_h,数字/字符串/对象,ｈ,—,T1,Variable,lwn_scn_state,var_N,36
域值,變量,ｉ,代入ａ:(變量::ａ)+(變量::ｉ),Ctx::var_i,数字,ｉ,—,T1,Variable,lwn_scn_state,var_N,45
域值,變量,ｊ,代入ａ:(變量::ａ)+(變量::ｊ),Ctx::var_j,数字/对象,ｊ,—,T1,Variable,lwn_scn_state,var_N,6
域值,變量,ｋ,代入ａ:(變量::ａ)+(變量::ｋ),Ctx::var_k,数字/字符串/对象,ｋ,—,T1,Variable,lwn_scn_state,var_N,8
域值,變量,ｌ,調查:(變量::ｍ)>(變量::ｌ),Ctx::var_l,数字/字符串/对象,ｌ,—,T1,Variable,lwn_scn_state,var_N,6
域值,變量,ｍ,調查:(變量::ｍ)>=(10000),Ctx::var_m,数字,ｍ,—,T1,Variable,lwn_scn_state,var_N,27
域值,變量,ｎ,調查:(變量::ｎ)==(0),Ctx::var_n,数字,ｎ,—,T1,Variable,lwn_scn_state,var_N,15
域值,變量,ｏ,調查:(變量::ｏ)<=(3),Ctx::var_o,数字,ｏ,—,T1,Variable,lwn_scn_state,var_N,17
域值,變量,ｐ,調查:(變量::ｐ)==(1),Ctx::var_p,数字,ｐ,—,T1,Variable,lwn_scn_state,var_N,15
域值,變量,ｒ,代入ａ:(變量::ｄ)-(變量::ｒ),Ctx::var_r,数字,ｒ,—,T1,Variable,lwn_scn_state,var_N,41
域值,變量,ｔ,調查:(變量::ｔ)<(100),Ctx::var_t,数字,ｔ,—,T1,Variable,lwn_scn_state,var_N,142
域值,變量,ｕ,調查:(變量::ｕ)==(1),Ctx::var_u,数字,ｕ,—,T1,Variable,lwn_scn_state,var_N,8
域值,變量,ｖ,調查:(變量::ｖ)==(0),Ctx::var_v,数字,ｖ,—,T1,Variable,lwn_scn_state,var_N,3
域值,變量,ｗ,調查:(變量::ｗ)==(1),Ctx::var_w,数字,ｗ,—,T1,Variable,lwn_scn_state,var_N,21
域值,變量,ｘ,調查:(變量::ｘ)==(1),Ctx::var_x,数字,ｘ,—,T1,Variable,lwn_scn_state,var_N,20
域值,變量,ｙ,調查:(變量::ｙ)==(0),Ctx::var_y,数字,ｙ,—,T1,Variable,lwn_scn_state,var_N,16
域值,變量,ｚ,調查:(變量::ｚ)==(1),Ctx::var_z,数字,ｚ,—,T1,Variable,lwn_scn_state,var_N,34
域值,身份,上忍,調查:(人物::主人公.身份)==(身份::上忍),ninja_high,枚举:身份（带序：17 身份链）,上忍,—,T3,17功勋,17,identity_N,128
域值,身份,下忍,調查:(人物::主人公.身份)==(身份::下忍),ninja_low,枚举:身份（带序：17 身份链）,下忍,—,T3,17功勋,17,identity_N,25
域值,身份,中忍,調查:(人物::主人公.身份)==(身份::中忍),ninja_mid,枚举:身份（带序：17 身份链）,中忍,—,T3,17功勋,17,identity_N,28
域值,身份,侍大將,調查:(人物::主人公.身份)==(身份::侍大將),samurai_captain,枚举:身份（带序：17 身份链）,侍大將,—,T3,17功勋,17,identity_N,56
域值,身份,元締,場合分歧:(身份::元締){//size=196(c4),overseer,枚举:身份（带序：17 身份链）,元締,—,T3,17功勋,17,identity_N,60
域值,身份,國主,調查:(人物::主人公.身份)==(身份::國主),province_lord,枚举:身份（带序：17 身份链）,國主,—,T3,17功勋,17,identity_N,241
域值,身份,城主,調查:(人物::主人公.身份)==(身份::城主),city_lord,枚举:身份（带序：17 身份链）,城主,—,T3,17功勋,17,identity_N,1479
域值,身份,大名,調查:(人物::主人公.身份)==(身份::大名),daimyo,枚举:身份（带序：17 身份链）,大名,—,T3,17功勋,17,identity_N,976
域值,身份,大老闆,場合分歧:(身份::大老闆){//size=432(1b0),merchant_owner,枚举:身份（带序：17 身份链）,大老闆,—,T3,17功勋,17,identity_N,69
域值,身份,姑娘,更新:(人物::人物Ｂ.身份)(身份::姑娘),girl,枚举:身份（带序：17 身份链）,姑娘,—,T3,17功勋,17,identity_N,3
域值,身份,家老,調查:(人物::主人公.身份)==(身份::家老),elder,枚举:身份（带序：17 身份链）,家老,—,T3,17功勋,17,identity_N,136
域值,身份,師範,更新:(人物::柳生石舟齋.身份)(身份::師範),sword_master,枚举:身份（带序：17 身份链）,師範,—,T3,17功勋,17,identity_N,77
域值,身份,師範代,更新:(人物::小野善鬼.身份)(身份::師範代),sword_deputy,枚举:身份（带序：17 身份链）,師範代,—,T3,17功勋,17,identity_N,14
域值,身份,手代,調查:(人物::主人公.身份)==(身份::手代),clerk,枚举:身份（带序：17 身份链）,手代,—,T3,17功勋,17,identity_N,29
域值,身份,支配人,場合分歧:(身份::支配人){//size=172(ac),manager,枚举:身份（带序：17 身份链）,支配人,—,T3,17功勋,17,identity_N,34
域值,身份,水夫,調查:(人物::主人公.身份)==(身份::水夫),sailor,枚举:身份（带序：17 身份链）,水夫,—,T3,17功勋,17,identity_N,23
域值,身份,水夫頭,調查:(人物::主人公.身份)==(身份::水夫頭),boat_leader,枚举:身份（带序：17 身份链）,水夫頭,—,T3,17功勋,17,identity_N,27
域值,身份,浪人,調查:(人物::主人公.身份)==(身份::浪人),ronin,枚举:身份（带序：17 身份链）,浪人,—,T3,17功勋,17,identity_N,256
域值,身份,番頭,調查:(人物::主人公.身份)==(身份::番頭),foreman,枚举:身份（带序：17 身份链）,番頭,—,T3,17功勋,17,identity_N,178
域值,身份,船大將,調查:(人物::主人公.身份)==(身份::船大將),naval_captain,枚举:身份（带序：17 身份链）,船大將,—,T3,17功勋,17,identity_N,45
域值,身份,船頭,調查:(人物::主人公.身份)==(身份::船頭),boatswain,枚举:身份（带序：17 身份链）,船頭,—,T3,17功勋,17,identity_N,40
域值,身份,茶人,調查:(人物::主人公.身份)==(身份::茶人),tea_master,枚举:身份（带序：17 身份链）,茶人,—,T3,17功勋,17,identity_N,23
域值,身份,見習,調查:(人物::主人公.身份)==(身份::見習),apprentice,枚举:身份（带序：17 身份链）,見習,—,T3,17功勋,17,identity_N,17
域值,身份,足輕大將,調查:(人物::主人公.身份)==(身份::足輕大將),ashigaru_captain,枚举:身份（带序：17 身份链）,足輕大將,—,T3,17功勋,17,identity_N,55
域值,身份,足輕組頭,調查:(人物::主人公.身份)==(身份::足輕組頭),ashigaru_leader,枚举:身份（带序：17 身份链）,足輕組頭,—,T3,17功勋,17,identity_N,46
域值,身份,部將,調查:(人物::主人公.身份)==(身份::部將),general,枚举:身份（带序：17 身份链）,部將,—,T3,17功勋,17,identity_N,90
域值,身份,醫師,調查:(人物::主人公.身份)==(身份::醫師),doctor,枚举:身份（带序：17 身份链）,醫師,—,T3,17功勋,17,identity_N,23
域值,身份,鍛冶匠,調查:(人物::主人公.身份)==(身份::鍛冶匠),smith,枚举:身份（带序：17 身份链）,鍛冶匠,—,T3,17功勋,17,identity_N,23
域值,身份,頭,場合分歧:(身份::頭){//size=348(15c),head,枚举:身份（带序：17 身份链）,頭,—,T3,17功勋,17,identity_N,74
域值,身份,頭領,調查:(人物::主人公.身份)==(身份::頭領),chief,枚举:身份（带序：17 身份链）,頭領,—,T3,17功勋,17,identity_N,75
域值,軍團,主人公軍團,調查:(軍團::軍團１)==(軍團::主人公軍團),Army::player,对象:部队,主人公軍團,—,T3,02战略,lwn_scn_attr,army_N,545
域值,軍團,事件用１軍團,調查:(軍團::軍團２)==(軍團::事件用１軍團),Army::event_1,对象:部队,事件用１軍團,—,T3,02战略,lwn_scn_attr,army_N,307
域值,軍團,事件用２軍團,調查:(軍團::軍團１)==(軍團::事件用２軍團),Army::event_2,对象:部队,事件用２軍團,—,T3,02战略,lwn_scn_attr,army_N,179
域值,軍團,事件用３軍團,調查:(軍團::軍團２)==(軍團::事件用３軍團),Army::event_3,对象:部队,事件用３軍團,—,T3,02战略,lwn_scn_attr,army_N,118
域值,軍團,事件用４軍團,調查:(軍團::軍團１)==(軍團::事件用４軍團),Army::event_4,对象:部队,事件用４軍團,—,T3,02战略,lwn_scn_attr,army_N,55
域值,軍團,事件用５軍團,調查:(軍團::事件用５軍團.使用狀況)==(0),Army::event_5,对象:部队,事件用５軍團,—,T3,02战略,lwn_scn_attr,army_N,32
域值,軍團,軍團１,調查:(軍團::軍團１)==(軍團::主人公軍團),Army::army_1,对象:部队,軍團１,—,T3,02战略,lwn_scn_attr,army_N,832
域值,軍團,軍團２,調查:(軍團::軍團２)==(軍團::事件用１軍團),Army::army_2,对象:部队,軍團２,—,T3,02战略,lwn_scn_attr,army_N,329
域值,軍團,軍團Ａ,調查:(軍團::軍團Ａ)==(軍團::主人公軍團),Ctx::army_a,对象:部队,軍團Ａ,—,T3,02战略,lwn_scn_attr,army_N,30
域值,軍團,軍團Ｂ,代入軍團Ｂ:(軍團::軍團２),Ctx::army_b,对象:部队,軍團Ｂ,—,T3,02战略,lwn_scn_attr,army_N,5
域值,軍團方針,歸還,調查:(軍團::主人公軍團.8)==(軍團方針::歸還),intent_return_home,枚举:軍團方針,歸還,—,T3,02战略,lwn_scn_attr,doctrine_N,19
域值,里,里Ａ,調查:(人物::服部半藏.所屬據點)==(里::里Ａ),Ctx::village_a,对象:据点,里Ａ,—,T1,引擎,无,直接写 StringId,24
域值,里,里Ｂ,調查:(里::里Ｂ)==(里::透波),Ctx::village_b,对象:据点,里Ｂ,—,T1,引擎,无,直接写 StringId,12
域值,里,里Ｅ,調查:(人物::人物Ｅ.所屬據點)==(里::里Ｅ),Ctx::village_e,对象:据点,里Ｅ,—,T1,引擎,无,直接写 StringId,3
枚举值,主命字段,事件主命對象,事件主命變更:(事件主命對象)[[潛入<城Ｂ>]],quest.target,枚举,主命字段 枚举值,—,T2,13主命,13,—,10
枚举值,主命字段,事件主命成果,事件主命變更:(事件主命成果)[[勸誘成功]],quest.result,枚举,主命字段 枚举值,—,T2,13主命,13,—,13
枚举值,主命字段,事件主命目標,事件主命變更:(事件主命目標)[[拉攏半兵衛]],quest.goal,枚举,主命字段 枚举值,—,T2,13主命,13,—,9
枚举值,主命目標類,主命目標商業圈,"對話:(主人公,博古通今的老人)[[接下來，是調查<主命目標商業圈>的特產品啊……\n要做什麼才好呢？]]",quest.trade_zone,枚举,主命目標類 枚举值,—,T2,13主命,13,—,0
枚举值,主命目標類,主命目標海域,"對話:(主人公,博古通今的老人)[[那麼，雖說要討伐<主命目標海域>的海賊……\n但該怎麼辦才好呢？]]",quest.sea,枚举,主命目標類 枚举值,—,T2,13主命,13,—,0
枚举值,主命目標類,主命目標銷路,"對話:(主人公,博古通今的老人)[[那麼，\n雖說要護衛<主命目標銷路>的銷售通路……\n但該做什麼好呢？]]",quest.market,枚举,主命目標類 枚举值,—,T2,13主命,13,—,0
枚举值,事件屬性,一次,屬性:一次,once,枚举,事件屬性 枚举值,—,T1,Ctx,lwn_scn_state,—,2402
枚举值,事件屬性,多次,屬性:多次,repeat,枚举,事件屬性 枚举值,—,T1,Ctx,lwn_scn_state,—,192
枚举值,事件屬性,弱,屬性:一次｜弱,weak,枚举,事件屬性 枚举值,—,T1,Ctx,lwn_scn_state,—,285
枚举值,事件ＣＧ,さらば親父,"圖片表示:(事件ＣＧ,さらば親父,無效,無效,褪去)",Cg::tk5_u2c10ea,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,5
枚举值,事件ＣＧ,エンディング作家,"圖片表示:(事件ＣＧ,エンディング作家,無效,無效,褪去)",Cg::tk5_u016133,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,エンディング修羅,"圖片表示:(事件ＣＧ,エンディング修羅,無效,無效,褪去)",Cg::tk5_u1b6ac8,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,エンディング旅人,"圖片表示:(事件ＣＧ,エンディング旅人,無效,無效,褪去)",Cg::tk5_ue8209a,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,エンディング義賊,"圖片表示:(事件ＣＧ,エンディング義賊,無效,無效,褪去)",Cg::tk5_u8ef673,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,エンディング軍師,"圖片表示:(事件ＣＧ,エンディング軍師,無效,無效,褪去)",Cg::tk5_u6edd25,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,三日天下,"圖片表示:(事件ＣＧ,三日天下,無效,無效,無效果)",Cg::tk5_u219f4a,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,26
枚举值,事件ＣＧ,三枝箭,"圖片表示:(事件ＣＧ,三枝箭,無效,無效,褪去)",Cg::tk5_ua34e6f,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,3
枚举值,事件ＣＧ,上洛,"圖片表示:(事件ＣＧ,上洛,無效,無效,褪去)",Cg::march_kyoto,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,35
枚举值,事件ＣＧ,中國地方大折返,"圖片表示:(事件ＣＧ,中國地方大折返,無效,無效,圓形擦出)",Cg::tk5_u2cc8c2,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,19
枚举值,事件ＣＧ,信長的葬禮,"圖片表示:(事件ＣＧ,信長的葬禮,無效,無效,褪去)",Cg::tk5_u33af31,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,7
枚举值,事件ＣＧ,傾奇舞劇團,"圖片表示:(事件ＣＧ,傾奇舞劇團,無效,無效,無效果)",Cg::tk5_ud1e4f5,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,5
枚举值,事件ＣＧ,光秀打擲,"圖片表示:(事件ＣＧ,光秀打擲,無效,無效,無效果)",Cg::tk5_u3ddc06,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,2
枚举值,事件ＣＧ,出征,"圖片表示:(事件ＣＧ,出征,無效,無效,褪去)",Cg::tk5_u3092db,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,28
枚举值,事件ＣＧ,切腹,"圖片表示:(事件ＣＧ,切腹,無效,無效,無效果)",Cg::tk5_u3f017e,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,32
枚举值,事件ＣＧ,剣豪将軍の最期,"圖片表示:(事件ＣＧ,剣豪将軍の最期,無效,無效,褪去)",Cg::tk5_udca94d,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,6
枚举值,事件ＣＧ,勝利的歡呼,"圖片表示:(事件ＣＧ,勝利的歡呼,無效,無效,褪去)",Cg::tk5_u01ca76,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,48
枚举值,事件ＣＧ,北野大茶會,"圖片表示:(事件ＣＧ,北野大茶會,無效,無效,無效果)",Cg::tk5_u2fd711,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,4
枚举值,事件ＣＧ,和寧寧結婚,"圖片表示:(事件ＣＧ,和寧寧結婚,無效,無效,圓形擦出)",Cg::tk5_u3239d8,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,城攻陷,"圖片表示:(事件ＣＧ,城攻陷,無效,無效,褪去)",Cg::tk5_uf73be5,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,63
枚举值,事件ＣＧ,填平掘溝,"圖片表示:(事件ＣＧ,填平掘溝,無效,無效,褪去)",Cg::tk5_u0d7ba3,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,4
枚举值,事件ＣＧ,大名臣服,"圖片表示:(事件ＣＧ,大名臣服,無效,無效,褪去)",Cg::tk5_ue70a05,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,17
枚举值,事件ＣＧ,天下布武的象徵,"圖片表示:(事件ＣＧ,天下布武的象徵,無效,無效,回旋擦出)",Cg::tk5_u244c54,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,4
枚举值,事件ＣＧ,婚禮,"圖片表示:(事件ＣＧ,婚禮,無效,無效,褪去)",Cg::tk5_u0c062e,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,27
枚举值,事件ＣＧ,安和樂利的街町,"圖片表示:(事件ＣＧ,安和樂利的街町,無效,無效,褪去)",Cg::tk5_u2b0f18,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,9
枚举值,事件ＣＧ,宴席,"圖片表示:(事件ＣＧ,宴席,無效,無效,褪去)",Cg::tk5_uaf97c7,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,14
枚举值,事件ＣＧ,小山評定,"圖片表示:(事件ＣＧ,小山評定,無效,無效,褪去)",Cg::tk5_uc5852d,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,12
枚举值,事件ＣＧ,小粒金,"圖片表示:(物品,小粒金,無效,無效,無效果)",Cg::gold_nugget,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,2
枚举值,事件ＣＧ,巖流島的決戰,"圖片表示:(事件ＣＧ,巖流島的決戰,無效,無效,褪去)",Cg::tk5_ub5f5fa,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,2
枚举值,事件ＣＧ,川中島的二英雄,"圖片表示:(事件ＣＧ,川中島的二英雄,無效,無效,褪去)",Cg::tk5_u45586c,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,15
枚举值,事件ＣＧ,強右衛門的磔刑,"圖片表示:(事件ＣＧ,強右衛門的磔刑,無效,無效,褪去)",Cg::tk5_ub5ec6d,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,6
枚举值,事件ＣＧ,拜受正一位,"圖片表示:(事件ＣＧ,拜受正一位,無效,無效,褪去)",Cg::tk5_u726de8,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,13
枚举值,事件ＣＧ,攻城戰,"圖片表示:(事件ＣＧ,攻城戰,無效,無效,無效果)",Cg::tk5_uf3ac92,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,72
枚举值,事件ＣＧ,救出官兵衛,"圖片表示:(事件ＣＧ,救出官兵衛,無效,無效,無效果)",Cg::tk5_ue72173,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,2
枚举值,事件ＣＧ,敗戰,"圖片表示:(事件ＣＧ,敗戰,無效,無效,無效果)",Cg::tk5_uc513ce,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,82
枚举值,事件ＣＧ,敦盛之舞,"圖片表示:(事件ＣＧ,敦盛之舞,無效,無效,褪去)",Cg::tk5_udd7d6b,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,2
枚举值,事件ＣＧ,斬刑,"圖片表示:(事件ＣＧ,斬刑,無效,無效,回旋擦出)",Cg::tk5_u458ace,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,7
枚举值,事件ＣＧ,方廣寺鐘銘,"圖片表示:(事件ＣＧ,方廣寺鐘銘,無效,無效,褪去)",Cg::tk5_uc9220c,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,6
枚举值,事件ＣＧ,暗殺,"圖片表示:(事件ＣＧ,暗殺,無效,無效,無效果)",Cg::tk5_ud41875,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,15
枚举值,事件ＣＧ,本能寺之變,"圖片表示:(事件ＣＧ,本能寺之變,無效,無效,褪去)",Cg::tk5_u566468,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,19
枚举值,事件ＣＧ,桶狹間奇襲,"圖片表示:(事件ＣＧ,桶狹間奇襲,無效,無效,圓形擦出)",Cg::tk5_ud85ce0,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,9
枚举值,事件ＣＧ,正德寺的會見,"圖片表示:(事件ＣＧ,正德寺的會見,無效,無效,褪去)",Cg::tk5_u5904d9,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,3
枚举值,事件ＣＧ,死去,"圖片表示:(事件ＣＧ,死去,無效,無效,無效果)",Cg::tk5_u0a1125,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,27
枚举值,事件ＣＧ,海戰,"圖片表示:(事件ＣＧ,海戰,無效,無效,褪去)",Cg::tk5_ud802c2,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,39
枚举值,事件ＣＧ,火燒寺社,"圖片表示:(事件ＣＧ,火燒寺社,無效,無效,圓形擦出)",Cg::tk5_u4af068,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,6
枚举值,事件ＣＧ,真田十勇士,"圖片表示:(事件ＣＧ,真田十勇士,無效,無效,褪去)",Cg::tk5_ufed890,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,真田隊衝鋒,"圖片表示:(事件ＣＧ,真田隊衝鋒,無效,無效,褪去)",Cg::tk5_u99578c,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,7
枚举值,事件ＣＧ,祥瑞,"圖片表示:(物品,祥瑞,無效,無效,褪去)",Cg::tk5_uad8de7,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,1
枚举值,事件ＣＧ,空城之計,"圖片表示:(事件ＣＧ,空城之計,無效,無效,褪去)",Cg::tk5_u874155,资源,事件ＣＧ 资源名,—,T3,数据包,无,—,9
